date_str,hawkishness,uncertainty,concern
20210616,1.9342,1.9342,0.5803
20210728,1.8868,2.0755,0.566
20210922,2.0073,2.5547,0.5474
20211103,2.1309,1.9787,0.4566
20211215,1.5901,2.1201,0.53
20220126,1.8987,1.8987,0.6329
20220218,0.0,0.7576,0.1894
20220316,2.8133,2.5575,0.2558
20220504,2.5822,3.0516,0.4695
20220615,2.6699,2.4272,0.4854
20220727,2.7778,2.2222,0.5556
20220921,2.7701,2.2161,0.554
20221102,3.4884,2.093,0.4651
20221214,3.4884,2.093,0.4651
20230201,3.876,2.3256,0.7752
20230322,3.58,2.3866,0.4773
20230503,3.3766,3.1169,0.5195
20230614,3.038,2.7848,0.5063
20230726,3.3592,2.584,0.5168
20230920,3.0612,2.551,0.5102
20231101,3.0151,2.5126,0.5025
20231213,2.934,2.445,0.489
20240131,2.3256,2.8424,1.0336
20240320,2.3622,2.8871,1.0499
20240501,2.1978,3.0769,1.0989
20240612,2.5381,2.7919,1.0152
20240731,2.1898,2.6764,0.9732
20240918,2.2167,2.7094,1.2315
20241107,1.8919,2.973,1.0811
20241218,1.7722,3.038,1.0127
